iter	Passed	Remaining
0	6	1302
1	12	1123
2	21	1330
3	26	1206
4	31	1159
5	35	1074
6	39	1021
7	43	978
8	46	925
9	49	880
10	53	859
11	56	833
12	60	816
13	63	795
14	67	785
15	71	773
16	75	765
17	78	748
18	82	733
19	85	723
20	89	715
21	93	706
22	96	696
23	99	686
24	103	677
25	109	689
26	114	686
27	118	680
28	121	670
29	126	670
30	131	669
31	135	662
32	140	664
33	145	665
34	150	663
35	154	656
36	158	649
37	161	640
38	166	638
39	172	642
40	178	645
41	183	641
42	190	647
43	194	641
44	199	637
45	204	634
46	207	626
47	211	621
48	215	614
49	222	618
50	229	621
51	236	623
52	241	618
53	245	614
54	249	608
55	252	600
56	257	596
57	261	590
58	264	582
59	267	575
60	271	569
61	274	562
62	278	556
63	281	550
64	285	543
65	291	543
66	300	547
67	307	547
68	311	542
69	315	535
70	320	531
71	326	531
72	331	526
73	338	525
74	343	521
75	347	516
76	352	512
77	360	512
78	368	513
79	384	524
80	391	521
81	399	521
82	404	516
83	410	512
84	419	513
85	426	510
86	431	506
87	435	500
88	440	494
89	444	488
90	452	487
91	458	483
92	464	479
93	469	474
94	472	467
95	476	461
96	479	455
97	484	449
98	488	443
99	492	438
100	496	432
101	500	426
102	504	420
103	507	414
104	511	409
105	514	403
106	518	397
107	522	392
108	527	387
109	531	381
110	536	377
111	540	371
112	545	366
113	551	362
114	556	358
115	562	353
116	567	349
117	573	345
118	578	340
119	582	335
120	588	330
121	591	325
122	595	319
123	599	314
124	604	309
125	608	304
126	612	298
127	616	293
128	620	288
129	624	283
130	629	278
131	632	273
132	636	268
133	640	262
134	644	257
135	648	252
136	652	247
137	656	242
138	660	237
139	668	234
140	677	230
141	682	225
142	687	221
143	694	216
144	699	212
145	704	207
146	708	202
147	713	197
148	718	192
149	724	188
150	728	183
151	734	178
152	739	173
153	744	169
154	748	164
155	759	160
156	779	158
157	792	155
158	800	151
159	809	146
160	816	141
161	830	138
162	840	133
163	850	129
164	862	125
165	875	121
166	882	116
167	887	110
168	894	105
169	899	100
170	904	95
171	913	90
172	920	85
173	963	83
174	986	78
175	1074	79
176	1204	81
177	1226	75
178	1238	69
179	1245	62
180	1251	55
181	1255	48
182	1270	41
183	1295	35
184	1301	28
185	1306	21
186	1311	14
187	1315	6
188	1321	0
