iter	Passed	Remaining
0	2	557
1	6	620
2	9	580
3	12	560
4	16	589
5	19	590
6	23	600
7	26	592
8	29	596
9	33	591
10	35	581
11	39	586
12	42	573
13	45	565
14	48	566
15	51	559
16	54	547
17	56	538
18	59	533
19	63	534
20	66	529
21	70	532
22	73	529
23	76	528
24	80	528
25	83	521
26	87	522
27	90	519
28	93	513
29	96	509
30	99	504
31	103	506
32	106	501
33	109	498
34	114	502
35	118	501
36	121	499
37	124	494
38	128	494
39	132	491
40	135	489
41	138	484
42	140	478
43	144	475
44	147	470
45	149	464
46	153	462
47	155	457
48	158	452
49	160	447
50	163	443
51	166	438
52	169	435
53	173	433
54	176	429
55	178	423
56	182	422
57	185	418
58	188	415
59	191	410
60	193	406
61	196	403
62	200	400
63	202	395
64	206	394
65	209	390
66	212	386
67	215	383
68	218	379
69	222	378
70	225	375
71	230	374
72	232	370
73	237	369
74	240	365
75	243	361
76	246	358
77	249	354
78	252	351
79	255	348
80	259	345
81	262	343
82	265	338
83	267	334
84	270	331
85	273	327
86	275	323
87	278	319
88	281	315
89	283	312
90	287	309
91	289	305
92	291	301
93	295	298
94	297	294
95	300	291
96	303	288
97	307	285
98	311	283
99	317	282
100	322	280
101	325	277
102	329	275
103	332	271
104	335	268
105	338	264
106	341	261
107	344	258
108	346	254
109	349	251
110	352	248
111	355	244
112	358	241
113	362	238
114	365	235
115	368	231
116	371	228
117	375	225
118	378	222
119	381	219
120	384	216
121	389	213
122	394	211
123	397	208
124	400	205
125	403	201
126	406	198
127	410	195
128	413	192
129	416	188
130	418	185
131	421	182
132	424	178
133	427	175
134	429	171
135	432	168
136	436	165
137	439	162
138	442	159
139	445	155
140	447	152
141	450	148
142	452	145
143	456	142
144	459	139
145	461	135
146	464	132
147	467	129
148	470	126
149	473	123
150	476	119
151	479	116
152	481	113
153	484	110
154	487	107
155	490	103
156	494	100
157	497	97
158	500	94
159	503	91
160	506	88
161	509	84
162	514	82
163	518	79
164	523	76
165	527	73
166	529	69
167	533	66
168	536	63
169	538	60
170	542	57
171	545	53
172	547	50
173	551	47
174	554	44
175	558	41
176	561	38
177	563	34
178	567	31
179	570	28
180	573	25
181	576	22
182	579	18
183	584	15
184	587	12
185	591	9
186	594	6
187	597	3
188	600	0
